"A","B","P"
29,16,1
30,16,1
34,16,1
35,16,1
39,16,1
40,16,1
41,16,1
42,16,1
49,16,1
50,16,1
51,16,1
52,16,1
54,16,1
55,16,1
56,16,1
57,16,1
58,16,1
59,16,1
60,16,1
61,16,1
63,16,1
64,16,1
66,16,1
71,16,1
72,16,1
73,16,1
74,16,1
76,16,1
78,16,1
18,17,1
31,17,1
32,17,1
33,17,1
37,17,1
44,17,1
45,17,1
48,17,1
49,17,1
52,17,1
53,17,1
58,17,1
62,17,1
74,17,1
76,17,1
78,17,1
19,18,1
31,18,1
32,18,1
33,18,1
37,18,1
39,18,1
44,18,1
45,18,1
48,18,1
49,18,1
52,18,1
53,18,1
58,18,1
62,18,1
66,18,1
71,18,1
77,18,1
78,18,1
21,19,1
31,19,1
32,19,1
33,19,1
36,19,1
37,19,1
39,19,1
53,19,1
62,19,1
67,19,1
22,20,1
23,20,1
24,20,1
30,20,1
39,20,1
40,20,1
41,20,1
42,20,1
50,20,1
52,20,1
55,20,1
56,20,1
57,20,1
59,20,1
60,20,1
71,20,1
72,20,1
73,20,1
74,20,1
34,21,1
44,21,1
47,21,1
62,21,1
67,21,1
75,21,1
80,21,1
23,22,1
24,22,1
26,22,1
29,22,1
30,22,1
34,22,1
35,22,1
39,22,1
40,22,1
41,22,1
42,22,1
44,22,1
49,22,1
50,22,1
51,22,1
52,22,1
54,22,1
55,22,1
56,22,1
57,22,1
59,22,1
60,22,1
61,22,1
62,22,1
63,22,1
64,22,1
66,22,1
70,22,1
71,22,1
72,22,1
73,22,1
76,22,1
24,23,1
26,23,1
27,23,1
29,23,1
30,23,1
34,23,1
35,23,1
36,23,1
40,23,1
41,23,1
42,23,1
45,23,1
49,23,1
50,23,1
51,23,1
52,23,1
55,23,1
56,23,1
57,23,1
58,23,1
59,23,1
60,23,1
61,23,1
64,23,1
68,23,1
71,23,1
72,23,1
73,23,1
74,23,1
76,23,1
78,23,1
26,24,1
27,24,1
29,24,1
30,24,1
34,24,1
36,24,1
40,24,1
41,24,1
42,24,1
45,24,1
49,24,1
50,24,1
51,24,1
52,24,1
54,24,1
55,24,1
56,24,1
57,24,1
58,24,1
59,24,1
60,24,1
61,24,1
64,24,1
68,24,1
70,24,1
71,24,1
72,24,1
73,24,1
74,24,1
76,24,1
78,24,1
38,25,1
47,25,1
27,26,1
28,26,1
29,26,1
30,26,1
34,26,1
35,26,1
40,26,1
41,26,1
42,26,1
49,26,1
50,26,1
51,26,1
52,26,1
56,26,1
57,26,1
58,26,1
59,26,1
60,26,1
61,26,1
63,26,1
64,26,1
66,26,1
70,26,1
71,26,1
72,26,1
73,26,1
76,26,1
78,26,1
30,27,1
34,27,1
35,27,1
45,27,1
50,27,1
55,27,1
56,27,1
57,27,1
59,27,1
72,27,1
76,27,1
78,27,1
80,27,1
30,28,1
31,28,1
35,28,1
37,28,1
41,28,1
56,28,1
58,28,1
61,28,1
74,28,1
76,28,1
30,29,1
34,29,1
35,29,1
40,29,1
41,29,1
42,29,1
49,29,1
50,29,1
51,29,1
52,29,1
56,29,1
57,29,1
59,29,1
60,29,1
61,29,1
63,29,1
64,29,1
66,29,1
70,29,1
71,29,1
72,29,1
73,29,1
76,29,1
34,30,1
35,30,1
40,30,1
41,30,1
42,30,1
45,30,1
50,30,1
51,30,1
52,30,1
55,30,1
56,30,1
57,30,1
58,30,1
59,30,1
60,30,1
61,30,1
63,30,1
64,30,1
72,30,1
73,30,1
74,30,1
76,30,1
78,30,1
80,30,1
32,31,1
33,31,1
37,31,1
40,31,1
44,31,1
48,31,1
53,31,1
58,31,1
59,31,1
62,31,1
76,31,1
78,31,1
37,32,1
39,32,1
40,32,1
53,32,1
58,32,1
62,32,1
37,33,1
39,33,1
44,33,1
45,33,1
48,33,1
49,33,1
52,33,1
53,33,1
54,33,1
58,33,1
60,33,1
62,33,1
66,33,1
71,33,1
77,33,1
78,33,1
35,34,1
41,34,1
42,34,1
45,34,1
49,34,1
50,34,1
51,34,1
52,34,1
55,34,1
56,34,1
57,34,1
59,34,1
60,34,1
61,34,1
63,34,1
64,34,1
72,34,1
73,34,1
76,34,1
80,34,1
41,35,1
56,35,1
58,35,1
59,35,1
61,35,1
63,35,1
64,35,1
76,35,1
78,35,1
80,35,1
40,36,1
56,36,1
57,36,1
59,36,1
67,36,1
68,36,1
73,36,1
78,36,1
39,37,1
44,37,1
48,37,1
49,37,1
52,37,1
53,37,1
60,37,1
62,37,1
71,37,1
43,38,1
42,39,1
49,39,1
50,39,1
51,39,1
52,39,1
53,39,1
60,39,1
62,39,1
71,39,1
73,39,1
41,40,1
50,40,1
51,40,1
52,40,1
56,40,1
57,40,1
58,40,1
59,40,1
60,40,1
61,40,1
64,40,1
65,40,1
72,40,1
73,40,1
74,40,1
76,40,1
78,40,1
42,41,1
49,41,1
50,41,1
51,41,1
52,41,1
54,41,1
55,41,1
56,41,1
57,41,1
58,41,1
59,41,1
60,41,1
61,41,1
63,41,1
64,41,1
66,41,1
70,41,1
71,41,1
72,41,1
73,41,1
74,41,1
76,41,1
78,41,1
49,42,1
50,42,1
51,42,1
52,42,1
54,42,1
55,42,1
56,42,1
57,42,1
60,42,1
61,42,1
62,42,1
63,42,1
64,42,1
66,42,1
71,42,1
72,42,1
73,42,1
76,42,1
65,43,1
48,44,1
49,44,1
51,44,1
52,44,1
54,44,1
60,44,1
62,44,1
63,44,1
64,44,1
66,44,1
71,44,1
77,44,1
48,45,1
56,45,1
59,45,1
74,45,1
76,45,1
77,45,1
78,45,1
48,46,1
62,47,1
65,47,1
67,47,1
75,47,1
80,47,1
58,48,1
77,48,1
78,48,1
50,49,1
51,49,1
52,49,1
54,49,1
56,49,1
57,49,1
60,49,1
61,49,1
62,49,1
63,49,1
64,49,1
66,49,1
70,49,1
71,49,1
72,49,1
73,49,1
51,50,1
52,50,1
54,50,1
55,50,1
56,50,1
57,50,1
58,50,1
59,50,1
60,50,1
61,50,1
64,50,1
70,50,1
71,50,1
72,50,1
73,50,1
74,50,1
76,50,1
78,50,1
52,51,1
54,51,1
55,51,1
56,51,1
57,51,1
59,51,1
60,51,1
61,51,1
62,51,1
63,51,1
64,51,1
66,51,1
70,51,1
71,51,1
72,51,1
73,51,1
76,51,1
54,52,1
57,52,1
60,52,1
61,52,1
62,52,1
63,52,1
64,52,1
66,52,1
70,52,1
71,52,1
72,52,1
73,52,1
58,53,1
62,53,1
65,53,1
78,53,1
79,53,1
60,54,1
62,54,1
64,54,1
66,54,1
71,54,1
72,54,1
56,55,1
57,55,1
59,55,1
60,55,1
64,55,1
71,55,1
72,55,1
73,55,1
74,55,1
76,55,1
78,55,1
57,56,1
58,56,1
59,56,1
60,56,1
61,56,1
63,56,1
64,56,1
70,56,1
71,56,1
72,56,1
73,56,1
74,56,1
76,56,1
78,56,1
58,57,1
59,57,1
60,57,1
61,57,1
64,57,1
71,57,1
72,57,1
73,57,1
74,57,1
76,57,1
78,57,1
59,58,1
62,58,1
68,58,1
72,58,1
74,58,1
76,58,1
78,58,1
79,58,1
60,59,1
61,59,1
63,59,1
64,59,1
72,59,1
73,59,1
74,59,1
76,59,1
78,59,1
61,60,1
62,60,1
63,60,1
64,60,1
66,60,1
70,60,1
71,60,1
72,60,1
73,60,1
74,60,1
76,60,1
63,61,1
64,61,1
72,61,1
76,61,1
80,61,1
64,62,1
66,62,1
71,62,1
64,63,1
65,63,1
66,63,1
70,63,1
72,63,1
79,63,1
80,63,1
65,64,1
66,64,1
70,64,1
71,64,1
72,64,1
73,64,1
76,64,1
66,65,1
70,65,1
79,65,1
70,66,1
71,66,1
72,66,1
77,68,1
72,70,1
73,70,1
72,71,1
73,71,1
73,72,1
74,72,1
76,72,1
78,72,1
74,73,1
76,74,1
78,74,1
80,75,1
78,76,1
