RefSeqGeneName	TadaGeneName	ExomeMutRate	dnLoF	caseLoF	ctrlLoF	transLoF	ntransLoF	dnMis3	caseMis3	ctrlMis3	transMis3	ntransMis3	SmallDelMutRate	dnSmallDel	tadaFdrAscSscExomeSscAgpSmallDel	65genes_tadaFdrAscSscExomeSscAgpSmallDel	tadaFdrAscSscExome	59genes_tadaFdrAscSscExome	tadaFdrAscExome	tadaFdrSscExome													
DNMT3A	DNMT3A	4.81E-05	1	0	5	0	1	3	1	19	2	1	3.82E-07	0	0.016924415	SSC_TADA	0.014968884	SSC	0.639626463	0.032450998													
GIGYF1	GIGYF1	5.54E-05	2	3	2	0	1	0	5	21	5	8	1.65E-07	0	0.018633889	SSC_2hit	0.022732323	SSC	0.879017374	0.021256117													
WDFY3	WDFY3	0.0001332	2	2	2	1	0	1	6	32	8	11	8.80E-07	0	0.020362117	SSC_2hit	0.012719878	SSC	0.118330116	0.074969879													
SPAST	SPAST	2.35E-05	2	0	1	0	0	0	2	4	0	1	3.65E-07	0	0.02225643	Combined_TADA	0.026336067	SSC	0.388840742	0.404847014													
KAT2B	KAT2B	3.04E-05	1	2	0	0	0	0	2	9	3	1	3.06E-07	1	0.024535619	Combined_TADA_CNV	0.180819656	0	0.762332523	0.253795691													
MYT1L	MYT1L	5.53E-05	1	1	0	0	0	2	4	20	2	3	1.59E-06	0	0.026721973	ASC_only	0.020917533	ASC	0.074865167	0.774373506													
SLC6A1	SLC6A1	3.00E-05	0	1	0	0	0	3	2	3	1	1	1.88E-07	0	0.029094457	Combined_TADA	0.032968453	SSC	0.198293923	0.385292822													
PHF2	PHF2	5.06E-05	2	0	1	0	0	0	5	15	8	4	3.13E-07	0	0.031890865	SSC_2hit	0.038110476	SSC	0.465943497	0.036560845													
ZNF559	ZNF559	2.31E-06	0	10	7	1	0	1	2	20	12	6	1.89E-07	0	0.034574231	Combined_TADA	0.045665522	SSC	0.248537162	0.60111417													
BCL11A	BCL11A	5.27E-05	2	0	1	0	0	0	1	16	3	1	3.44E-07	0	0.037244493	ASC_only	0.043258699	ASC	0.0107986	0.478212701													
MFRP	MFRP	2.47E-05	1	3	4	3	3	1	2	17	2	3	1.73E-07	0	0.039842688	SSC_TADA	0.05452908	SSC	0.823358122	0.08571121													
FOXP1	FOXP1	3.02E-05	2	0	0	0	1	0	2	7	2	2	1.96E-06	0	0.042434425	SSC_2hit	0.028407991	SSC	0.4068931	0.028029277													
GABRB3	GABRB3	2.17E-05	1	2	1	0	0	1	0	2	0	0	5.98E-07	0	0.044942927	ASC_only	0.040742181	ASC	0.02742713	0.658695327													
MIB1	MIB1	3.96E-05	0	7	10	10	0	0	6	11	0	3	4.64E-07	0	0.047428126	ASC_only	0.052398334	ASC	0.022352547	0.945695744													
P2RX5	P2RX5	2.40E-05	1	4	2	2	1	0	2	29	7	4	2.05E-07	0	0.049894714	Combined_TADA	0.05686061	SSC	0.538596377	0.183115209													
TRIO	TRIO	0.0001425	1	0	1	2	2	3	16	56	14	30	9.70E-07	0	0.052537483	ASC_only	0.050188381	ASC	0.066932351	0.20234898													
KMT2E	MLL5	6.55E-05	2	2	3	0	1	0	14	37	7	4	3.95E-07	0	0.05516794	SSC_2hit	0.059292048	SSC	0.50214619	1													
ETFB	ETFB	1.65E-05	1	2	1	2	0	0	1	6	4	4	1.80E-07	0	0.057802163	ASC_only	0.068735241	ASC	0.058067373	0.364516432													
NINL	NINL	7.14E-05	1	6	5	5	3	0	11	34	14	16	4.39E-07	0	0.060407456	Combined_TADA	0.061763516	SSC	0.496931081	0.578846501													
CTTNBP2	CTTNBP2	6.14E-05	1	4	1	3	2	0	5	59	10	11	4.75E-07	0	0.062956825	ASC_only	0.066404928	ASC	0.032007176	0.346935227													
INTS6	INTS6	3.12E-05	1	0	0	1	0	1	1	1	1	1	3.59E-07	0	0.065481931	Combined_TADA	0.070997389	SSC	0.554302584	0.106898746													
USP45	USP45	2.60E-05	1	6	10	2	1	1	2	14	5	12	3.19E-07	0	0.067918018	Combined_TADA	0.073211522	SSC	0.859707153	0.14228753													
CAPN12	CAPN12	3.31E-05	0	2	4	5	1	2	15	40	6	10	1.95E-07	0	0.07031388	Combined_TADA	0.075503933	SSC	0.298720022	0.670811921													
OR52M1	OR52M1	1.29E-05	1	2	1	3	2	0	6	20	2	9	1.65E-07	0	0.072770193	Combined_TADA	0.077888952	SSC	0.619304241	0.296355955													
DIP2A	DIP2A	7.85E-05	2	0	4	2	0	0	18	51	10	14	3.48E-07	0	0.075330466	SSC_2hit	0.08020467	SSC	0.520961877	0.018692866													
AKAP9	AKAP9	0.0001178	1	2	4	4	3	2	14	74	26	19	5.43E-07	0	0.07807325	Combined_TADA	0.082519833	SSC	0.751612134	0.152756098													
NAA15	NAA15	2.84E-05	1	1	1	0	0	1	2	6	1	0	3.68E-07	0	0.080859744	ASC_only	0.085054543	ASC	0.071009817	0.935240658													
APH1A	APH1A	1.19E-05	1	0	0	0	1	1	0	1	0	3	1.85E-07	0	0.083619035	ASC_only	0.087748023	ASC	0.083551969	0.916445903													
IRF2BPL	IRF2BPL	4.84E-05	1	1	0	0	0	1	5	9	0	1	1.87E-07	0	0.086375716	Combined_TADA	0.090435781	SSC	0.872666228	0.123885439													
ACHE	ACHE	3.61E-05	0	0	1	0	0	3	3	19	0	1	1.69E-07	0	0.089042875	Combined_TADA	0.093047636	SSC	0.733038017	0.240347908													
NLGN3	NLGN3	4.16E-05	0	0	1	0	0	1	0	1	0	0	2.18E-07	1	0.091665316	Combined_TADA_CNV	0.788001566	0	0.935800293	0.712787625													
MBD5	MBD5	5.32E-05	1	0	0	0	0	0	4	21	9	6	1.44E-06	1	0.094211825	SSC_TADA_CNV	0.538667218	0	0.519101408	0.375355105													
PTK7	PTK7	5.43E-05	1	0	3	0	1	2	9	24	11	8	3.20E-07	0	0.096863783	SSC_TADA	0.098139899	SSC	0.880171561	0.038654402													
ERBB2IP	ERBB2IP	4.35E-05	1	2	1	0	1	1	3	27	4	10	5.11E-07	0	0.099652767	Combined_TADA	0.103028993	0	0.313209851	0.705415952													
TBL1XR1	TBL1XR1	1.52E-05	1	0	1	0	0	1	0	0	0	0	5.19E-07	0	0.102362406	0	0.100623992	0	0.668703104	0.082016653													
ASXL3	ASXL3	7.94E-05	2	0	2	0	0	0	6	29	9	5	4.72E-07	0	0.104997685	0	0.105404252	0	0.049136617	0.944746899													
CCIN	CCIN	2.71E-05	1	1	2	0	0	1	5	20	8	3	1.67E-07	0	0.107580129	0	0.115086768	0	0.359631237	0.934425551													
TMEM39B	TMEM39B	1.94E-05	1	0	0	0	0	1	3	8	1	0	2.46E-07	0	0.110139449	0	0.112700867	0	0.746255754	0.384229047													
TSPAN4	TSPAN4	1.51E-05	1	1	3	0	0	1	2	6	1	1	1.99E-07	0	0.112632078	0	0.117430946	0	0.916713168	0.059433306													
PSMD12	PSMD12	1.82E-05	1	0	0	3	1	0	2	0	0	1	2.16E-07	0	0.115079659	0	0.119716658	0	0.69371237	0.376501128													
MLXIP	MLXIP	4.02E-05	0	2	0	0	0	0	5	18	2	2	3.82E-07	1	0.117515115	0	0.815422478	0	0.781300946	0.939706699													
RAPGEF4	RAPGEF4	4.10E-05	1	1	1	1	1	1	5	29	7	1	8.43E-07	0	0.119915932	0	0.095607941	SSC	0.310062778	0.793626147													
CACNA2D3	CACNA2D3	4.37E-05	2	0	0	0	0	0	2	22	4	5	3.81E-06	0	0.122252095	0	0.035419049	ASC	0.016866662	0.31032215													
IL17RA	IL17RA	4.14E-05	1	2	0	1	0	0	1	20	2	5	1.84E-07	0	0.124591949	0	0.128678162	0	0.664497556	0.461863747													
SCN1A	SCN1A	7.50E-05	0	1	0	0	0	3	11	16	9	5	4.55E-07	0	0.126931943	0	0.12194366	0	0.329431776	0.543808812													
MYH10	MYH10	8.96E-05	1	0	3	1	0	2	6	18	4	3	4.94E-07	0	0.129338413	0	0.124203957	0	0.287275951	0.06242001													
VIL1	VIL1	3.79E-05	0	2	4	6	4	2	5	31	5	3	2.36E-07	0	0.131764709	0	0.131063667	0	0.09254344	0.888739485													
PRKAR1B	PRKAR1B	2.31E-05	1	0	0	0	0	1	0	10	2	1	5.23E-07	0	0.134134377	0	0.126463995	0	0.453881063	0.664025225													
NR3C2	NR3C2	3.86E-05	1	1	1	0	0	1	2	4	2	5	9.67E-07	0	0.136479801	0	0.107856802	0	0.079075759	0.116771881													
PLCD4	PLCD4	3.21E-05	1	2	6	2	1	1	4	25	8	6	2.28E-07	0	0.138875427	0	0.144867766	0	0.708443027	0.120210317													
ZC3H11A	ZC3H11A	2.93E-05	1	0	0	0	0	1	2	11	3	1	2.77E-07	0	0.141242751	0	0.140450275	0	0.477108242	0.68315205													
ARHGAP5	ARHGAP5	5.01E-05	1	1	1	0	0	1	6	15	5	3	3.58E-07	0	0.143571362	0	0.133483343	0	0.663693029	0.475700092													
MLANA	MLANA	4.63E-06	1	0	1	2	0	0	0	0	0	0	1.97E-07	0	0.145851167	0	0.15127891	0	0.773535795	0.145845136													
SPARCL1	SPARCL1	2.20E-05	1	1	0	1	0	0	4	10	7	5	2.27E-07	0	0.148094673	0	0.149177496	0	0.103321272	0.871598965													
FBXO11	FBXO11	2.88E-05	1	0	0	0	0	1	0	3	1	0	3.79E-07	0	0.150294375	0	0.135855608	0	0.940931227	0.100102939													
TLK2	TLK2	2.88E-05	1	0	0	0	0	1	3	2	0	0	4.90E-07	0	0.152533516	0	0.138165752	0	0.766088473	0.103504906													
CTCF	CTCF	3.22E-05	1	0	0	0	0	1	2	1	0	2	3.47E-07	0	0.15479957	0	0.155432358	0	0.941908598	0.110200671													
WNT7B	WNT7B	2.66E-05	1	2	0	0	0	0	2	10	1	4	1.73E-07	0	0.157026201	0	0.165703357	0	0.755469848	0.418661708													
ABL1	ABL1	6.02E-05	0	0	0	0	0	1	4	13	2	5	4.86E-07	1	0.159218115	0	0.849497789	0	0.946225255	0.754055457													
FCRL6	FCRL6	1.58E-05	1	4	3	1	2	0	3	10	1	0	1.86E-07	0	0.161365053	0	0.167655945	0	0.140474966	0.509394938													
SPAG9	SPAG9	5.17E-05	1	1	1	0	0	1	7	34	10	11	5.31E-07	0	0.1634675	0	0.147030661	0	0.902826012	0.156089953													
IL1RL1	IL1RL1	1.20E-05	0	0	0	0	0	1	6	12	4	4	2.13E-07	1	0.165545284	0	0.660652779	0	0.725589935	0.846582434													
ZNF774	ZNF774	1.92E-05	0	4	2	4	3	1	2	16	1	1	1.87E-07	0	0.167586066	0	0.169594556	0	0.131987824	0.942720883													
S100G	S100G	2.12E-06	1	1	0	0	0	0	0	0	0	0	1.86E-07	0	0.169584563	0	0.171492304	0	0.17005869	0.276273809													
CHD1	CHD1	5.60E-05	1	0	1	1	0	1	5	17	7	2	3.22E-07	0	0.171569091	0	0.159640886	0	0.680045809	0.480145822													
RIMS1	RIMS1	6.65E-05	2	3	7	0	1	0	9	27	7	7	1.51E-06	0	0.173530783	0	0.110261755	0	0.614246988	0.012415612													
KLHL14	KLHL14	3.42E-05	0	1	0	1	0	2	2	15	0	2	3.63E-07	0	0.175488446	0	0.163714099	0	0.47202051	0.695569923													
MYO9B	MYO9B	0.000108	1	0	1	0	0	2	11	48	15	14	4.00E-07	0	0.177419066	0	0.16169281	0	0.053794426	0.902373814													
COBL	COBL	5.86E-05	0	3	1	1	0	2	9	39	12	15	7.99E-07	0	0.179353337	0	0.142686514	0	0.376709769	0.75111425													
MTMR12	MTMR12	2.90E-05	1	1	0	1	0	0	2	9	0	2	3.35E-07	0	0.181296676	0	0.177105517	0	0.123056596	0.935497483													
CARKD	CARKD	2.07E-05	1	0	1	5	4	0	5	13	3	4	1.78E-07	0	0.183216497	0	0.186254952	0	0.156148696	0.482076816													
RNF146	RNF146	1.38E-05	1	2	0	0	1	0	1	1	0	0	2.20E-07	0	0.185119902	0	0.184457897	0	0.791359549	0.344003768													
CDH13	CDH13	3.33E-05	0	0	1	0	0	1	10	31	4	7	7.15E-06	2	0.187009965	0	0.753730752	0	0.927605735	0.720880911													
KMT2A	MLL	0.000148165	2	1	0	0	1	0	6	30	8	9	3.63E-07	0	0.188869898	0	0.178968079	0	0.579675266	1													
UTP6	UTP6	2.18E-05	1	2	2	1	0	0	3	4	2	4	2.61E-07	0	0.190708329	0	0.188021524	0	0.15241133	0.923643187													
TNPO3	TNPO3	3.74E-05	0	2	0	0	0	2	4	8	0	0	3.72E-07	0	0.192530618	0	0.182633592	0	0.483478095	0.703719215													
SUCLG2	SUCLG2	1.54E-05	1	2	1	1	1	0	4	10	7	7	7.30E-07	0	0.194339948	0	0.157551064	0	0.767174479	0.420315857													
RALGAPA1	RALGAPA1	6.84E-05	0	1	2	2	0	1	5	28	3	2	8.16E-07	1	0.196150147	0	0.679153233	0	0.585928059	0.936836672													
FAM168B	FAM168B	8.56E-06	1	1	0	0	0	0	1	5	0	0	2.66E-07	0	0.197947146	0	0.193316528	0	0.811693506	0.308417551													
PPM1D	PPM1D	2.32E-05	1	1	1	2	1	0	1	6	2	6	3.14E-07	0	0.199711908	0	0.19156053	0	0.163200818	0.40209055													
STAU2	STAU2	1.66E-05	0	0	1	0	0	1	1	10	1	4	8.78E-07	1	0.201465395	0	0.67896973	0	0.669731847	0.860841362													
ATP1A1	ATP1A1	4.35E-05	1	0	0	0	0	1	0	1	1	1	2.15E-07	0	0.203218673	0	0.198567094	0	0.79803659	0.465672001													
RAB2A	RAB2A	7.59E-06	1	0	0	1	0	0	0	0	0	0	4.11E-07	0	0.204946463	0	0.189804467	0	0.186506314	0.298440016													
NUAK1	NUAK1	3.24E-05	1	0	1	0	1	1	8	24	5	4	2.49E-07	0	0.206702916	0	0.203689289	0	0.487588813	0.113376786													
ATP1B1	ATP1B1	1.27E-05	1	1	0	0	0	0	0	4	1	1	1.82E-07	0	0.208435482	0	0.207078281	0	0.201124658	0.333122437													
NUDT17	NUDT17	1.29E-05	1	1	0	0	0	0	2	4	1	0	1.78E-07	0	0.21014632	0	0.210379161	0	0.82468257	0.334734395													
PCDHA13	PCDHA13	6.53E-05	1	1	0	0	1	1	5	27	7	7	3.71E-07	0	0.211837488	0	0.196821423	0	0.70825986	0.454057694													
DPP3	DPP3	3.99E-05	1	0	3	1	0	1	4	24	12	5	2.27E-07	0	0.213501988	0	0.205394013	0	0.136301822	0.94231798													
GRIA1	GRIA1	3.61E-05	0	2	0	0	0	2	4	14	2	6	8.55E-07	0	0.215172913	0	0.17525043	0	0.479249584	0.591734724													
MYOC	MYOC	2.06E-05	1	2	5	4	2	0	4	10	5	6	1.82E-07	0	0.216818012	0	0.212032253	0	0.192544157	0.877083384													
SMURF1	SMURF1	3.65E-05	1	2	0	0	0	0	0	8	1	1	3.89E-07	0	0.218438746	0	0.20199551	0	0.144562932	0.938655157													
TMEM114	TMEM114	5.05E-06	0	0	0	0	0	0	0	0	0	0	1.76E-07	1	0.220044966	0	0.890421748	0	0.921168627	1													
PCOLCE	PCOLCE	2.19E-05	1	1	1	1	0	0	1	11	4	2	1.90E-07	0	0.221626482	0	0.213668174	0	0.189568777	0.443046043													
MEMO1	MEMO1	1.09E-05	1	1	0	0	0	0	0	1	0	0	4.90E-07	0	0.223230513	0	0.200296943	0	0.819291978	0.323027734													
JADE2	PHF15	4.06E-05	1	2	0	0	0	0	1	9	2	2	2.40E-07	0	0.224817186	0	0.215303008	0	0.166543311	0.939795055													
SDCCAG3	SDCCAG3	2.33E-05	1	0	4	4	0	0	3	23	5	5	1.81E-07	0	0.226402456	0	0.220142171	0	0.820241523	0.371850947													
SLCO1B1	SLCO1B1	2.26E-05	0	1	5	8	2	1	3	3	9	5	2.29E-07	0	0.227965922	0	0.218526809	0	0.195424657	0.946184448													
ROBO4	ROBO4	4.52E-05	0	4	3	3	0	1	6	35	6	10	1.73E-07	0	0.229541226	0	0.224925389	0	0.489598284	0.616303814													
CSNK1E	CSNK1E	2.44E-05	0	0	0	1	0	2	1	3	1	0	3.95E-07	0	0.231122795	0	0.216911691	0	0.176820523	0.932489901													
KLHDC10	KLHDC10	1.68E-05	1	0	0	1	0	0	0	2	2	2	2.82E-07	0	0.232684165	0	0.221745382	0	0.833363588	0.367006401													
BAZ2B	BAZ2B	7.14E-05	1	2	2	0	0	1	12	62	18	20	8.28E-07	0	0.234240861	0	0.195057175	0	0.908325566	0.048590691													
HNRNPD	HNRNPD	1.01E-05	0	0	1	0	0	0	0	1	0	1	2.11E-07	1	0.235775581	0	0.905149267	0	0.900000454	0.317717516													
CYP27C1	CYP27C1	1.83E-05	1	3	3	0	0	0	1	3	1	2	1.79E-07	0	0.237301497	0	0.229656954	0	0.838400539	0.37763461													
DOCK5	DOCK5	7.59E-05	1	2	1	0	1	1	2	23	5	8	5.95E-07	0	0.238804943	0	0.20874299	0	0.697844439	0.507488221													
IL18R1	IL18R1	1.91E-05	0	2	0	0	0	0	3	3	1	2	2.41E-07	1	0.240298903	0	0.739509941	0	0.740984866	0.919569467													
KRT34	KRT34	2.11E-05	0	1	2	1	0	2	3	24	8	6	1.81E-07	0	0.241775663	0	0.232762106	0	0.206700675	0.929607718													
SCARA3	SCARA3	2.70E-05	1	0	1	2	0	0	5	16	7	2	2.34E-07	0	0.243241513	0	0.228082214	0	0.20391606	0.878329111													
PRPF39	PRPF39	1.99E-05	1	0	0	1	0	0	0	1	1	0	2.37E-07	0	0.244710398	0	0.234284647	0	0.214986706	0.867471318													
ZNF490	ZNF490	2.00E-05	1	1	0	0	0	0	3	3	0	2	2.43E-07	0	0.246166228	0	0.237266324	0	0.838331527	0.390455526													
STAM	STAM	1.98E-05	1	1	0	0	0	0	4	8	6	3	2.81E-07	0	0.24760934	0	0.231219107	0	0.837462095	0.388420876													
SYNCRIP	SYNCRIP	2.03E-05	0	1	0	1	0	0	3	5	3	3	2.51E-07	1	0.249049488	0	0.743736723	0	0.743654467	0.928807741													
SIX2	SIX2	2.17E-05	1	1	0	0	0	0	1	3	5	5	1.83E-07	0	0.250470263	0	0.241730972	0	0.217688515	0.930204122													
RELN	RELN	0.0001378	1	1	2	1	0	2	24	92	24	18	1.48E-06	0	0.25188817	ASC_only	0.173357717	0	0.04439146	0.845501136													
MTUS1	MTUS1	4.54E-05	1	4	7	0	1	1	17	31	11	12	2.60E-07	0	0.253305222	0	0.240254244	0	0.943515781	0.199114537													
RFX7	RFX7	5.12E-05	1	0	1	0	0	1	5	25	4	4	5.13E-07	0	0.254705043	0	0.226485434	0	0.469778061	0.737932213													
TCTE3	TCTE3	7.87E-06	1	0	0	1	1	0	1	3	0	2	1.98E-07	0	0.256135558	0	0.24477416	0	0.273784484	0.929340898													
CDC42BPB	CDC42BPB	8.33E-05	1	2	2	0	0	1	6	19	5	6	4.03E-07	0	0.257551229	ASC_only	0.238761205	0	0.097919557	0.518761121													
GIGYF2	GIGYF2	4.70E-05	1	0	3	1	0	1	7	23	3	6	5.07E-07	0	0.258966485	0	0.235785139	0	0.78286645	0.328151805													
CDC23	CDC23	2.51E-05	1	0	0	1	0	0	1	3	0	1	2.23E-07	0	0.260385935	0	0.246305516	0	0.845289378	0.412820365													
GGNBP2	GGNBP2	2.54E-05	1	1	0	0	0	0	0	1	3	1	2.74E-07	0	0.261823273	0	0.247825891	0	0.225618527	0.933287644													
LEO1	LEO1	2.59E-05	1	1	0	0	0	0	3	11	1	3	2.45E-07	0	0.26324232	0	0.252289565	0	0.237684492	0.933674328													
CCT6B	CCT6B	1.91E-05	0	1	1	4	1	1	1	5	3	4	2.45E-07	0	0.264643746	0	0.25374275	0	0.560472128	0.628167506													
GSDMC	GSDMC	1.80E-05	1	4	5	0	0	0	3	15	3	3	2.15E-07	0	0.26604242	0	0.256632537	0	0.256770544	0.926117983													
NXPE4	FAM55D	1.82E-05	1	0	1	2	1	0	3	11	2	5	2.10E-07	0	0.267424275	0	0.258061878	0	0.854756788	1													
OR2T10	OR2T10	1.12E-05	1	1	1	0	0	0	1	3	3	5	1.83E-07	0	0.268794084	0	0.259492125	0	0.864044414	0.287736682													
PLA1A	PLA1A	1.88E-05	1	2	2	0	0	0	2	9	2	1	1.97E-07	0	0.270154831	0	0.260904258	0	0.260776079	0.942657338													
KLC1	KLC1	2.56E-05	1	0	0	1	0	0	0	4	4	1	3.26E-07	0	0.271499419	0	0.25081682	0	0.233048025	0.933430619													
NXPH1	NXPH1	1.04E-05	0	0	1	0	0	0	0	2	2	0	7.54E-07	1	0.272831306	0	0.906328891	0	0.900535348	0.912431848													
WHSC1	WHSC1	2.56E-05	1	1	0	0	0	0	4	13	7	3	3.93E-07	0	0.274173959	0	0.249331761	0	0.230638595	0.933422068													
MUC21	MUC21	2.09E-05	1	2	1	0	1	0	1	1	0	1	1.60E-07	0	0.275513036	0	0.266559312	0	0.858025015	0.392470794													
GIMAP8	GIMAP8	2.71E-05	1	0	3	0	1	1	7	12	8	6	2.06E-07	0	0.276840012	0	0.263733778	0	0.553775231	0.071492477													
CERS4	CERS4	1.95E-05	0	2	2	7	2	0	5	5	1	3	2.18E-07	0	0.278171261	0	0.265154462	0	0.275537216	0.94277126													
CSDE1	CSDE1	3.05E-05	1	1	0	0	0	0	2	5	6	1	2.50E-07	0	0.279522009	0	0.267964985	0	0.250640997	0.465042384													
CASC4	CASC4	1.89E-05	0	0	0	0	1	0	1	10	1	1	4.71E-07	1	0.280868014	0	0.923763403	0	0.909619929	0.927246733													
FBXO18	FBXO18	5.15E-05	1	0	2	0	0	1	1	3	1	1	2.06E-07	0	0.282213685	0	0.272175084	0	0.826145976	0.089242676													
QRICH1	QRICH1	3.07E-05	1	1	0	0	0	0	2	3	2	0	3.04E-07	0	0.283552377	0	0.269364251	0	0.254714314	0.936423696													
DDX53	DDX53	2.38E-05	0	0	0	0	0	0	0	5	0	0	1.76E-07	1	0.284878054	0	0.930131725	0	0.938981729	0.933834411													
SLCO1B3	SLCO1B3	2.26E-05	1	0	2	2	0	0	4	20	5	4	2.81E-07	0	0.286199243	0	0.270772597	0	0.278951805	0.898170103													
